"","group","location","location_name","species","species_name","length","weight","DDT_conc"
"117",2,3,"Desemboca",1,"catfish",43.5,810,4.1
"118",2,3,"Desemboca",1,"catfish",46.5,908,2.8
"119",2,3,"Desemboca",1,"catfish",43,804,0.74
"120",2,3,"Desemboca",1,"catfish",47.5,1179,14
"121",2,3,"Desemboca",1,"catfish",32,556,22
"122",2,3,"Desemboca",1,"catfish",40.5,659,9.1
"123",2,3,"Desemboca",1,"catfish",51.5,1229,140
"124",2,3,"Desemboca",1,"catfish",48,1050,4.2
"125",2,3,"Desemboca",1,"catfish",47,952,12
"126",2,3,"Desemboca",1,"catfish",41,826,2
"127",2,3,"Desemboca",2,"buffalo",33.5,599,0.3
"128",2,3,"Desemboca",2,"buffalo",47,1704,1.2
"129",2,3,"Desemboca",1,"catfish",50,1207,7.1
"130",2,3,"Desemboca",1,"catfish",45,911,180
"131",2,3,"Desemboca",1,"catfish",49,1498,1.5
"132",2,3,"Desemboca",1,"catfish",49.5,1496,2.4
"133",2,3,"Desemboca",1,"catfish",50,1142,4.3
"134",2,3,"Desemboca",1,"catfish",45,879,3.9
"135",2,3,"Desemboca",2,"buffalo",32.5,525,0.99
"136",2,3,"Desemboca",2,"buffalo",38,806,0.45
"137",2,3,"Desemboca",2,"buffalo",38.5,694,2.5
"138",2,3,"Desemboca",2,"buffalo",36,643,0.25
"139",2,3,"Desemboca",3,"bass",26.5,514,0.58
"140",2,3,"Desemboca",3,"bass",23.5,358,2
"141",2,3,"Desemboca",3,"bass",30,856,2.2
"142",2,3,"Desemboca",3,"bass",29,793,7.4
"143",2,3,"Desemboca",3,"bass",17.5,173,0.35
"144",2,3,"Desemboca",3,"bass",36,1433,1.9
