ANIO;MINICIO;MES;CODSEXO;CODMUN;MUN112;PROV;ISLA;RECURSO;FRECURSO
2007;10;Octubre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Posterior Protocolo
2013;07;Julio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2010;03;Marzo;;38011;Candelaria;Tenerife;Tenerife;Otros;Actuación in situ
2009;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;11;Noviembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Otros;Colaboración con Otro Recurso
2013;12;Diciembre;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Guardia Civil;Rechazo Inicial Protocolo
2006;10;Octubre;;38006;Arona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2010;10;Octubre;;38017;Granadilla de Abona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2008;07;Julio;Mu;38014;Fuencaliente de La Palma;Tenerife;La Palma;NA;NA
2009;11;Noviembre;;38017;Granadilla de Abona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2005;11;Noviembre;;38011;Candelaria;Tenerife;Tenerife;Guardia Civil;Anulado Indicación Alertante
2006;01;Enero;Ho;38026;Orotava La;Tenerife;Tenerife;NA;NA
2010;06;Junio;Mu;38011;Candelaria;Tenerife;Tenerife;NA;NA
2009;11;Noviembre;;38006;Arona;Tenerife;Tenerife;Guardia Civil;Sin Recurso Disponible
2013;02;Febrero;Ho;35017;Puerto Rosario;Las Palmas;Fuerteventura;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;01;Enero;;35016;Las Palmas;Las Palmas;Gran Canaria;Otros;Rechazo Inicial Protocolo
2007;07;Julio;Ho;38006;Arona;Tenerife;Tenerife;Guardia Civil;Asistencia in situ
2010;10;Octubre;Ho;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;04;Abril;;38006;Arona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2010;01;Enero;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2010;03;Marzo;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2005;07;Julio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Alta Voluntaria
2014;10;Octubre;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2013;05;Mayo;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2005;11;Noviembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2005;02;Febrero;Ho;38036;San Sebastian de La Gomera;Tenerife;La Gomera;Ambulancia SVB;Intervención Pospuesta
2007;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2006;02;Febrero;Ho;35021;Santa Brígida;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;05;Mayo;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2005;02;Febrero;;35011;Ingenio;Las Palmas;Gran Canaria;NA;NA
2006;04;Abril;;38017;Granadilla de Abona;Tenerife;Tenerife;NA;NA
2010;07;Julio;Mu;35015;Pájara;Las Palmas;Fuerteventura;Ambulancia SVB;Sin Recurso Disponible
2008;06;Junio;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Asistencia in situ
2010;01;Enero;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;No Valorable / Error
2006;08;Agosto;;38017;Granadilla de Abona;Tenerife;Tenerife;Policia Local;Actuación in situ
2008;07;Julio;Ho;38040;Santiago del Teide;Tenerife;Tenerife;Guardia Civil;Actuación in situ
2009;11;Noviembre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2010;02;Febrero;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2008;05;Mayo;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Alta Voluntaria
2010;05;Mayo;Ho;35022;Santa Lucía;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2005;04;Abril;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2009;07;Julio;Mu;38043;Tacoronte;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;11;Noviembre;;38022;Icod de los Vinos;Tenerife;Tenerife;Bomberos;Informacion sin Seguimiento
2012;09;Septiembre;;38043;Tacoronte;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2011;01;Enero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2012;03;Marzo;Ho;35021;Santa Brígida;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;10;Octubre;Mu;35034;Yaiza;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Varios
2014;05;Mayo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;08;Agosto;Mu;35026;Telde;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2010;01;Enero;Ho;35012;Mogán;Las Palmas;Gran Canaria;NA;Transp. Urg. NO Medicalizado
2013;05;Mayo;Mu;38006;Arona;Tenerife;Tenerife;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2006;05;Mayo;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;03;Marzo;;38017;Granadilla de Abona;Tenerife;Tenerife;NA;NA
2007;10;Octubre;;38023;Laguna La;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2009;06;Junio;Ho;35006;Arucas;Las Palmas;Gran Canaria;NA;NA
2009;02;Febrero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Ya Evacuado
2005;11;Noviembre;;38032;Rosario El;Tenerife;Tenerife;UNELCO;Informacion sin Seguimiento
2013;09;Septiembre;;35006;Arucas;Las Palmas;Gran Canaria;Policia Local;Falsa Alarma
2007;05;Mayo;;35012;Mogán;Las Palmas;Gran Canaria;Guardia Civil;Actuación in situ
2009;04;Abril;Ho;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;03;Marzo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2008;09;Septiembre;Ho;35030;Tuineje;Las Palmas;Fuerteventura;NA;Intervención Pospuesta
2013;06;Junio;;35016;Las Palmas;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2011;09;Septiembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2014;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Asistencia in situ
2005;11;Noviembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;05;Mayo;;35006;Arucas;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2014;08;Agosto;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2006;08;Agosto;Ho;38991;MAR Tenerife;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2008;04;Abril;Ho;35022;Santa Lucía;Las Palmas;Gran Canaria;NA;NA
2010;10;Octubre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Anulado Indicación Alertante
2007;06;Junio;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2012;09;Septiembre;Ho;35012;Mogán;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;01;Enero;;35026;Telde;Las Palmas;Gran Canaria;Bomberos;Extincion de Incendios
2006;09;Septiembre;Ho;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia SVA;Asistencia in situ
2013;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2011;07;Julio;;38052;Vilaflor;Tenerife;Tenerife;NA;NA
2014;10;Octubre;;35022;Santa Lucía;Las Palmas;Gran Canaria;Medio Ambiente;Informacion sin Seguimiento
2006;03;Marzo;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2014;02;Febrero;Mu;38023;Laguna La;Tenerife;Tenerife;NA;NA
2014;03;Marzo;;35004;Arrecife;Las Palmas;Lanzarote;Policia Local;Informacion sin Seguimiento
2007;03;Marzo;Ho;38037;Santa Cruz de La Palma;Tenerife;La Palma;Ambulancia SVB;Sin Recurso Disponible
2008;04;Abril;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2010;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Bomberos;Informacion sin Seguimiento
2008;03;Marzo;Mu;38001;Adeje;Tenerife;Tenerife;Ambulancia SVB;Ya Evacuado
2006;11;Noviembre;Ho;38017;Granadilla de Abona;Tenerife;Tenerife;Ambulancia SVB;Alta Voluntaria
2012;08;Agosto;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;06;Junio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;06;Junio;;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transporte Urg. Medicalizado
2013;04;Abril;Ho;35026;Telde;Las Palmas;Gran Canaria;NA;NA
2013;07;Julio;;38048;Valverde;Tenerife;El Hierro;AAVV Proteccion Civil;No Valorable / Error
2009;08;Agosto;Mu;35012;Mogán;Las Palmas;Gran Canaria;CECOP Proteccion Civil;Rescate en Tierra
2005;12;Diciembre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVA;Transporte Secundario
2009;12;Diciembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2012;02;Febrero;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVA;Transporte Urg. Medicalizado
2006;05;Mayo;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2014;11;Noviembre;;38028;Puerto de la Cruz;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2007;09;Septiembre;;35027;Teror;Las Palmas;Gran Canaria;Ambulancia SVB;Anulado Indicación Alertante
2014;07;Julio;Mu;38001;Adeje;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2012;11;Noviembre;Ho;35009;Gáldar;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Anulado por Informe Otro Recu
2005;03;Marzo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Varios
2011;08;Agosto;;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;NA
2006;12;Diciembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2007;04;Abril;Mu;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;07;Julio;Mu;35026;Telde;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2013;06;Junio;Ho;35011;Ingenio;Las Palmas;Gran Canaria;Ambulancia SVB;Transporte Urg. Medicalizado
2014;04;Abril;Mu;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;06;Junio;Ho;38001;Adeje;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2014;12;Diciembre;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2011;08;Agosto;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Actuación in situ
2012;08;Agosto;Mu;38050;Vallehermoso;Tenerife;La Gomera;Helicoptero de Rescate;Extincion de Incendios
2014;08;Agosto;;38017;Granadilla de Abona;Tenerife;Tenerife;NA;NA
2005;05;Mayo;Ho;38026;Orotava La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;05;Mayo;;35002;Agüimes;Las Palmas;Gran Canaria;Guardia Civil;Rechazo Inicial Protocolo
2011;02;Febrero;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2007;10;Octubre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;05;Mayo;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Actuación in situ
2011;05;Mayo;;35011;Ingenio;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2014;12;Diciembre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2006;11;Noviembre;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;07;Julio;;35026;Telde;Las Palmas;Gran Canaria;NA;NA
2013;03;Marzo;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2013;01;Enero;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;06;Junio;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Alta Voluntaria
2012;12;Diciembre;Ho;35024;Teguise;Las Palmas;Lanzarote;Ambulancia SVB;Sin Recurso Disponible
2009;03;Marzo;Mu;38024;Llanos de Aridane Los;Tenerife;La Palma;NA;NA
2006;08;Agosto;;38006;Arona;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2009;08;Agosto;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;10;Octubre;;38021;Hermigüa;Tenerife;La Gomera;NA;NA
2014;02;Febrero;Ho;38013;Frontera;Tenerife;El Hierro;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;02;Febrero;Mu;38024;Llanos de Aridane Los;Tenerife;La Palma;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;06;Junio;;35022;Santa Lucía;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2010;09;Septiembre;;35030;Tuineje;Las Palmas;Fuerteventura;NA;NA
2014;05;Mayo;;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;No Valorable / Error
2005;08;Agosto;Ho;35027;Teror;Las Palmas;Gran Canaria;Policia Local;Rechazo Inicial Protocolo
2013;09;Septiembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2010;09;Septiembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2014;04;Abril;;38025;Matanza de Acentejo La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
